VOLTAGE_RECORDED,WIND_SPEED_RECORDED
4.3486,12.7813
4.8841,10.4024
4.0478,14.3975
4.2468,13.3742
4.0678,14.5937
4.3994,12.4199
4.2864,13.041
4.2928,12.9091
4.5103,11.8621
4.0594,14.6722
4.278,12.9485
4.5809,11.4862
4.3381,12.9058
4.7267,10.9695
4.523,11.7516
4.9905,9.8935
4.1751,13.7756
4.7506,10.9811
4.6576,11.302
4.9631,10.1894
4.4241,12.0887
4.645,11.4876
4.4738,12.1937
4.1265,13.9033
4.7195,11.0482
4.6869,10.9821
4.8845,10.2606
4.7216,10.9435
4.3255,12.8125
4.6845,11.1867
4.9212,10.1996
4.5152,11.8941
4.2952,13.1589
4.7402,10.9077
4.9823,9.9928
4.8293,10.6879
4.8969,10.1844
4.2267,13.348
4.1926,13.3841
4.4026,12.2467
4.8855,10.3587
4.1406,14.0045
4.5648,11.7928
4.1342,14.0503
4.1796,13.8762
4.452,12.3119
4.3114,12.9629
4.0558,14.455
4.3007,13.0136
4.5928,11.3199
4.2829,12.9919
4.2293,13.3234
4.3338,12.9442
4.3382,12.6465
4.7082,10.8227
4.3459,12.5673
4.4962,11.9923
4.6635,11.3478
4.996,10.0074
4.5894,11.5422
4.348,12.5693
4.5258,11.9935
4.2291,13.3796
4.198,13.3755
4.8798,10.2538
4.921,10.0832
4.0872,14.0962
4.8505,10.6385
4.7502,10.5838
4.685,10.8412
4.9015,10.2745
4.5716,11.4205
4.4784,12.1101
4.7444,11.0703
4.3419,12.856
4.6755,11.3394
4.1447,14.0191
4.6448,11.4821
4.6156,11.4667
4.0053,15.0705
4.8371,10.6021
4.1641,13.6719
4.8062,10.8591
4.7544,10.8601
4.6001,11.5068
4.539,11.9026
4.7899,10.6729
4.6251,11.4151
4.0696,14.307
4.8022,10.5962
4.058,14.4866
4.5397,11.6539
4.6821,11.2894
4.9379,10.0095
4.2765,13.2359
4.1717,13.9025
4.7276,11.04
4.5508,11.7105
4.5675,11.6871
4.4745,12.2448
4.195,13.3812
4.9428,10.0788
4.07,14.3345
4.7715,10.8703
4.2443,13.0755
4.5016,12.0632
4.902,10.1056
4.5051,11.8472
4.167,13.5631
4.2738,12.9957
4.2504,13.3692
4.1544,14.0707
4.6545,11.1236
4.1274,14.1791
4.6289,11.2901
4.825,10.3121
4.5278,11.7003
4.6751,10.9054
4.1086,14.3705
4.6349,11.3755
4.6605,11.2581
4.4869,11.9174
4.5623,11.4124
4.5992,11.2824
4.6797,11.2425
4.7084,10.9134
4.2066,13.7298
4.4775,12.2276
4.9173,10.4674
4.0883,14.4292
4.174,13.8808
4.9455,9.9704
4.806,10.7526
4.326,12.8165
4.3155,12.8993
4.975,10.0708
4.1754,13.5061
4.6649,11.1118
4.7621,10.6131
4.1167,14.288
4.8095,10.7175
4.5352,11.6761
4.6034,11.5148
4.5714,11.7263
4.7027,10.8085
4.4854,11.9069
4.7518,10.6871
4.225,13.594
4.3066,12.924
4.8558,10.6036
4.6095,11.3062
4.1654,13.8945
4.7777,10.622
4.6131,11.5637
4.0962,14.3657
4.0865,14.1179
4.4634,12.1559
4.8612,10.5283
4.2429,13.4969
4.1593,13.9927
4.314,12.8037
4.9953,9.8308
4.7707,10.8979
4.1131,14.0043
4.0657,14.6723
4.2298,13.2184
4.1996,13.7972
4.1153,14.1359
4.4069,12.4201
4.1102,14.1015
4.8777,10.325
4.2706,13.0834
4.2707,12.9509
4.9928,9.834
4.2451,13.4978
4.6267,11.0949
4.6565,10.957
4.7583,10.8294
4.0427,14.9042
4.5048,11.9294
4.9685,10.1492
4.1861,13.6633
4.161,13.8249
4.4168,12.0725
4.657,11.1311
4.5691,11.4363
4.2726,13.1933
4.588,11.3507
4.7316,10.7391
4.8137,10.611
4.5986,11.4527
4.9414,10.2218
4.9656,10.0997
4.3752,12.588
4.5198,12.0363
4.489,11.7499
4.7803,10.9486
4.8135,10.6023
4.2172,13.3639
4.075,14.6767
4.9124,10.0986
4.4088,12.317
4.3746,12.7278
4.5548,11.8439
4.1898,13.8509
4.6228,11.2826
4.4321,12.0479
4.6912,11.0245
4.7066,11.0853
4.0229,15.0539
4.2967,12.8684
4.1346,13.9251
4.9146,10.3896
4.4525,12.3576
4.8371,10.4953
4.5668,11.7106
4.1912,13.7405
4.9747,9.9702
4.1611,13.9114
4.1337,13.8469
4.7648,10.5352
4.0313,14.8661
4.9011,10.0991
4.9135,10.1049
4.1736,13.9725
4.8969,10.3398
4.334,12.5263
4.4853,12.085
4.8584,10.6889
4.0001,14.9587
4.5231,11.7859
4.9994,10.2016
4.2106,13.489
4.9712,10.201
4.2688,13.1649
4.9421,10.3251
4.1723,13.5153
4.1487,14.0194
4.3822,12.3124
4.2128,13.3663
4.3017,12.9275
4.9399,10.3707
4.0114,15.1413
4.9741,10.3177
4.9431,10.0673
4.3731,12.493
4.3754,12.2776
4.2496,13.1512
4.1413,13.7463
4.241,13.5507
4.1478,14.1529
4.9575,10.026
4.6869,11.1268
4.0894,14.1764
4.3655,12.6144
4.808,10.8563
4.3799,12.527
4.1472,13.7741
4.8729,10.5439
4.2761,13.3159
4.7418,10.9833
4.6805,11.0253
4.3655,12.5895
4.7741,10.7517
4.126,13.8199
4.5676,11.3351
4.7804,10.5379
4.0472,14.67
4.1016,14.1977
4.6663,10.9773
4.5292,11.5596
4.2967,12.9757
4.741,10.837
4.8859,10.3349
4.943,9.9608
4.11,14.3653
4.5074,11.8523
4.1117,13.9707
4.1014,14.3462
4.634,11.5307
4.0552,14.4664
4.8442,10.3565
4.3381,12.6868
4.5058,12.0492
4.4797,12.0075
4.3695,12.5476
4.1628,13.8647
4.4131,12.4502
4.1275,14.1178
4.9513,10.0624
4.8742,10.6219
4.2507,13.1246
4.7944,10.6955
4.3714,12.4738
4.6143,11.5467
4.9507,9.9516
4.0868,14.569
4.1535,13.9752
4.4367,12.4183
4.139,13.915
4.8604,10.2662
4.71,11.2044
4.9072,10.1701
4.0778,14.5687
4.9472,9.9371
4.0002,15.0376
4.1389,13.9532
4.2591,13.1632
4.3836,12.6484
4.1344,14.2461
4.0167,14.9258
4.2297,13.311
4.5736,11.6024
4.2897,12.9822
4.6866,11.0716
4.9624,10.1748
4.0458,14.4877
4.4323,12.4644
4.3476,12.8131
4.8487,10.4191
4.9249,10.371
4.8891,10.1
4.9597,10.1837
4.1845,13.7756
4.7139,10.9413
4.2827,13.1163
4.9905,10.0946
4.4965,11.7165
4.4232,12.5174
4.229,13.4759
4.3289,12.9137
4.9632,10.2137
4.9666,9.9779
4.5009,11.7527
4.4332,12.1748
4.2326,13.4755
4.8535,10.2527
4.9204,10.4841
